ScannerAge,OperatingHours,ScansPerformed,DaysSinceMaintenance,TubeWear,HeatLoad,TubeArcs,FilamentCurrent,FocalSpotDrift,GantryVibration,BearingTemperature,DetectorTemperature,DetectorDropouts,SNR,CoolantFlow,CoolantTemperature,ChillerCycles,Voltage,UPSHealth,WarningCodes,ErrorCodes,HealthScore,RULDays,FailureProbability,ComponentAtRisk
4.8,10917.0,37907.0,165,56.5,64.5,12,4.6,0.63,0.39,41.4,30.1,1,25.9,5.1,38.5,107,412.4,81.4,8,4,17.9,59.0,0.83,X-Ray Tube Anode
11.4,26956.0,74360.0,79,98.0,89.9,20,5.57,1.02,0.85,52.4,32.3,0,23.1,4.4,44.1,126,397.9,55.7,19,5,5.0,19.0,0.95,X-Ray Tube Anode
8.9,17616.0,67092.0,61,66.2,58.0,13,4.93,0.68,0.52,47.4,29.7,0,25.6,6.6,32.7,96,404.3,65.7,13,2,16.1,49.0,0.83,X-Ray Tube Anode
7.4,16522.0,56501.0,113,56.4,53.2,13,4.93,0.61,0.41,41.0,24.5,0,26.7,5.8,33.3,90,408.5,72.2,11,1,29.8,103.0,0.71,X-Ray Tube Anode
2.3,5048.0,13810.0,121,26.4,32.9,6,4.78,0.34,0.14,46.0,26.3,3,29.1,6.4,26.0,74,401.5,85.4,6,2,49.9,170.0,0.52,Coolant Loop Unit
2.3,5466.0,21557.0,34,26.0,33.3,3,4.43,0.33,0.22,42.0,24.4,1,29.5,6.7,28.4,85,399.7,94.1,6,0,63.3,215.0,0.38,Coolant Loop Unit
1.2,2843.0,9318.0,70,5.0,24.8,1,4.17,0.11,0.07,32.8,26.2,3,29.1,7.3,22.9,68,401.2,94.7,3,1,72.8,248.0,0.28,Detector Array
10.5,18919.0,49366.0,17,58.4,60.9,15,4.88,0.56,0.61,40.9,26.0,2,29.8,6.5,32.2,94,384.5,60.7,17,0,17.4,58.0,0.86,X-Ray Tube Anode
7.4,16841.0,57936.0,20,70.7,63.5,16,5.05,0.72,0.56,45.2,28.7,1,25.2,6.3,36.5,104,378.8,70.0,14,1,16.5,57.0,0.86,X-Ray Tube Anode
8.6,15871.0,45704.0,59,67.7,58.8,17,5.3,0.69,0.47,47.5,29.0,2,26.6,6.5,30.3,87,406.0,69.5,11,1,16.9,56.0,0.83,X-Ray Tube Anode
0.7,1609.0,5963.0,69,5.0,16.9,3,4.49,0.11,0.01,36.7,22.9,2,31.1,7.8,20.2,62,397.4,91.4,3,1,74.2,247.0,0.28,Coolant Loop Unit
11.7,23324.0,86921.0,161,83.8,88.3,18,5.3,0.9,0.81,52.5,32.0,0,23.8,4.5,43.8,120,393.2,60.4,18,4,5.0,11.0,0.96,X-Ray Tube Anode
10.1,20295.0,80538.0,102,86.4,79.9,16,5.45,0.82,0.57,45.8,32.9,0,24.0,5.3,39.5,106,401.8,66.2,14,4,5.0,15.0,0.94,X-Ray Tube Anode
2.9,6022.0,19589.0,120,38.9,54.6,7,4.64,0.44,0.43,41.7,28.5,4,28.5,5.9,32.5,95,398.7,86.7,4,4,30.2,101.0,0.73,Coolant Loop Unit
2.6,5791.0,18428.0,145,19.2,40.4,4,4.48,0.33,0.26,39.4,25.5,1,29.6,6.7,26.3,82,389.7,83.1,4,1,58.3,183.0,0.45,Coolant Loop Unit
2.6,5307.0,19264.0,57,14.2,30.2,4,4.33,0.27,0.17,35.8,27.0,1,32.0,6.7,23.9,70,407.6,88.1,2,1,65.0,221.0,0.37,Coolant Loop Unit
4.0,9249.0,24960.0,83,39.4,51.7,6,4.48,0.52,0.33,41.1,28.6,0,25.2,5.7,31.8,88,409.0,84.1,9,1,42.1,154.0,0.59,Coolant Loop Unit
6.5,13613.0,45200.0,129,59.5,55.5,15,5.09,0.61,0.25,44.5,29.1,0,24.1,5.2,30.7,81,401.7,75.7,12,2,25.4,90.0,0.76,X-Ray Tube Anode
5.5,10103.0,33535.0,13,37.5,50.0,12,4.73,0.48,0.4,41.5,26.7,2,28.8,7.0,30.5,85,401.3,85.2,8,1,34.8,117.0,0.65,X-Ray Tube Anode
3.8,9040.0,23814.0,155,52.4,52.1,11,4.83,0.52,0.5,47.8,24.4,2,24.9,5.5,34.8,100,399.9,86.5,8,2,25.6,83.0,0.77,X-Ray Tube Anode
7.5,15073.0,47132.0,6,67.5,73.9,13,5.01,0.69,0.28,43.6,29.5,2,24.6,5.6,39.9,109,401.0,77.7,10,1,21.8,66.0,0.76,X-Ray Tube Anode
2.1,4425.0,16726.0,97,14.6,21.9,5,4.15,0.22,0.15,35.0,23.1,0,31.2,6.9,24.6,77,402.8,94.0,3,1,65.0,225.0,0.34,Coolant Loop Unit
3.9,8799.0,33299.0,94,22.5,41.2,3,4.32,0.27,0.28,38.5,26.0,0,32.7,7.3,28.4,80,396.2,86.7,3,2,60.0,206.0,0.35,Coolant Loop Unit
4.7,9581.0,25377.0,110,48.9,46.2,7,4.84,0.52,0.38,46.5,26.3,1,27.2,6.3,30.1,83,406.4,82.9,7,1,36.5,118.0,0.64,X-Ray Tube Anode
5.7,10568.0,27859.0,151,51.8,63.9,10,4.74,0.54,0.5,43.2,29.8,2,26.1,5.8,35.3,93,401.4,73.0,15,0,23.4,84.0,0.79,X-Ray Tube Anode
9.5,19647.0,56861.0,138,76.2,69.4,16,5.08,0.74,0.6,48.1,31.6,2,21.6,4.6,36.0,101,406.2,59.5,14,3,5.0,21.0,0.98,X-Ray Tube Anode
2.8,6882.0,26235.0,51,30.3,44.3,4,4.55,0.42,0.4,50.0,28.9,2,29.0,6.8,28.2,83,410.1,91.5,8,1,47.0,156.0,0.53,Coolant Loop Unit
6.4,14426.0,38854.0,147,56.5,59.3,11,4.78,0.6,0.45,47.8,30.4,0,26.4,5.6,31.2,92,400.3,76.3,8,1,31.0,104.0,0.69,X-Ray Tube Anode
7.3,16600.0,59429.0,51,70.6,66.7,12,4.9,0.75,0.53,46.9,28.7,1,24.1,6.2,37.1,107,402.7,76.5,14,1,16.3,57.0,0.84,X-Ray Tube Anode
1.0,2319.0,6150.0,87,5.0,26.4,1,4.02,0.15,0.14,40.6,25.3,0,33.4,6.8,24.6,76,405.2,90.7,3,0,77.6,267.0,0.26,Coolant Loop Unit
7.5,14519.0,49869.0,68,48.7,63.1,7,4.76,0.54,0.53,46.6,31.9,1,27.8,6.3,38.1,104,400.6,73.8,11,4,20.3,64.0,0.8,X-Ray Tube Anode
2.5,5151.0,15627.0,84,27.1,29.8,5,4.62,0.35,0.15,41.4,23.2,1,30.0,7.0,24.3,68,397.2,91.8,5,1,61.8,213.0,0.42,Coolant Loop Unit
1.2,2903.0,10691.0,42,19.1,41.8,3,4.18,0.26,0.19,33.1,29.0,1,26.9,6.8,28.6,88,401.5,92.7,3,2,61.2,208.0,0.41,Coolant Loop Unit
11.4,21352.0,60864.0,57,81.5,79.2,16,5.17,0.9,0.52,46.0,30.0,1,22.9,5.3,40.8,109,410.4,55.9,15,3,5.0,23.0,0.97,X-Ray Tube Anode
11.6,23146.0,80056.0,166,86.6,86.8,16,5.28,0.92,0.64,42.9,32.9,2,25.5,3.7,43.7,112,380.6,55.3,13,3,5.0,21.0,0.94,X-Ray Tube Anode
9.8,19529.0,55726.0,62,87.3,78.8,16,5.1,0.89,0.52,46.9,32.1,1,23.6,4.7,39.9,108,406.0,62.6,15,3,5.0,17.0,0.93,X-Ray Tube Anode
4.0,8416.0,30050.0,7,27.9,39.0,4,4.75,0.33,0.28,40.5,27.0,1,28.5,6.9,31.0,88,401.2,83.5,4,1,56.9,198.0,0.43,Coolant Loop Unit
1.6,4036.0,15378.0,112,16.6,39.0,1,4.34,0.24,0.13,42.0,30.0,1,31.7,6.3,26.8,79,395.8,91.5,4,0,65.8,216.0,0.34,Coolant Loop Unit
8.4,15459.0,41588.0,178,61.3,61.2,17,4.92,0.67,0.55,49.3,28.9,0,26.2,4.8,36.7,102,406.9,70.6,14,1,13.3,43.0,0.84,X-Ray Tube Anode
5.6,12031.0,45715.0,26,36.4,46.2,6,4.61,0.5,0.3,40.0,25.1,1,29.6,6.9,28.8,90,390.4,79.1,5,0,56.4,187.0,0.46,X-Ray Tube Anode
1.9,3665.0,12426.0,154,16.2,21.7,5,4.13,0.18,0.01,34.0,25.1,1,34.7,6.9,23.3,68,396.8,88.6,6,0,67.0,225.0,0.33,Coolant Loop Unit
6.2,15359.0,41326.0,19,62.2,56.7,12,5.1,0.69,0.35,43.9,28.5,0,27.8,6.0,33.6,97,410.5,79.0,8,0,34.7,115.0,0.66,X-Ray Tube Anode
0.9,1683.0,5286.0,9,9.6,29.6,4,4.17,0.24,0.17,37.1,26.4,0,30.9,7.7,24.5,70,384.9,92.3,4,2,64.8,214.0,0.39,Coolant Loop Unit
11.0,22819.0,62552.0,61,92.5,89.1,20,5.28,0.86,0.58,47.7,34.0,2,22.9,5.1,41.9,112,404.0,59.6,16,5,5.0,22.0,0.93,X-Ray Tube Anode
3.5,8052.0,28589.0,20,49.3,56.2,9,4.88,0.53,0.3,45.5,28.7,1,28.3,5.8,30.4,91,411.5,83.8,7,0,36.4,128.0,0.59,X-Ray Tube Anode
8.1,18618.0,67739.0,106,83.8,71.5,17,5.42,0.8,0.52,44.0,31.2,0,25.2,5.7,38.8,111,408.8,68.5,15,5,5.0,14.0,0.94,X-Ray Tube Anode
4.1,8561.0,22761.0,50,34.6,43.1,9,4.45,0.43,0.34,41.2,27.4,0,27.5,6.3,26.7,75,403.2,83.2,7,2,46.0,145.0,0.57,X-Ray Tube Anode
6.5,13237.0,43144.0,81,54.0,54.9,9,4.78,0.57,0.38,42.5,31.3,0,28.7,7.1,34.2,99,392.3,74.9,8,2,30.1,100.0,0.7,X-Ray Tube Anode
6.8,14106.0,52502.0,150,70.5,69.3,14,5.25,0.73,0.65,58.7,29.8,2,27.6,5.5,36.6,103,407.1,74.5,12,0,9.5,32.0,0.9,X-Ray Tube Anode
2.6,5212.0,20350.0,141,27.8,46.8,6,4.6,0.33,0.34,44.3,26.6,1,28.4,5.8,32.6,92,395.0,89.7,4,1,51.0,180.0,0.48,Coolant Loop Unit
11.7,22645.0,74055.0,140,80.7,82.0,20,5.27,0.86,0.63,52.2,33.2,0,23.6,4.7,36.4,94,398.8,61.3,20,5,5.0,14.0,0.95,X-Ray Tube Anode
9.4,20128.0,79012.0,10,88.1,73.4,17,5.1,0.9,0.55,49.4,29.4,1,24.2,5.5,37.8,104,399.6,62.9,16,4,5.0,22.0,0.94,X-Ray Tube Anode
11.3,22473.0,74239.0,65,98.0,96.4,21,5.32,0.99,0.9,57.3,34.2,2,22.2,5.6,43.5,117,390.2,52.0,23,3,5.0,14.0,0.94,X-Ray Tube Anode
10.8,21594.0,66754.0,158,98.0,88.0,19,5.35,0.99,0.54,48.3,32.3,1,23.6,4.0,41.4,111,410.4,58.0,17,5,5.0,20.0,0.97,X-Ray Tube Anode
7.4,16667.0,62875.0,8,63.5,69.3,14,4.83,0.7,0.49,46.9,30.2,0,25.4,6.2,37.6,107,399.3,76.4,9,3,20.6,74.0,0.85,X-Ray Tube Anode
11.1,27509.0,89116.0,149,98.0,81.4,22,5.12,0.97,0.79,47.9,35.4,4,22.2,4.4,39.8,111,399.4,62.1,17,4,5.0,20.0,0.93,X-Ray Tube Anode
1.5,3373.0,10820.0,22,6.0,27.6,0,4.19,0.24,0.14,39.1,27.2,3,32.3,7.6,22.7,67,395.1,91.3,1,0,71.2,237.0,0.28,Detector Array
2.8,5105.0,16518.0,18,22.9,30.7,3,4.68,0.24,0.05,35.7,27.2,1,30.7,7.4,24.7,81,394.3,88.2,7,2,60.6,204.0,0.38,Coolant Loop Unit
1.0,1890.0,7126.0,176,13.4,28.2,1,4.37,0.13,0.14,39.7,26.2,0,31.8,5.9,27.9,80,404.9,89.4,2,2,66.3,228.0,0.37,Coolant Loop Unit
4.2,10459.0,39200.0,172,37.7,36.7,5,4.86,0.35,0.25,40.3,25.4,3,30.2,6.1,28.6,85,405.1,81.5,4,0,53.2,173.0,0.48,Coolant Loop Unit
5.0,9980.0,30990.0,9,38.8,40.2,6,4.69,0.35,0.43,46.8,27.2,1,29.1,7.7,28.0,79,423.8,79.2,3,1,50.7,176.0,0.49,X-Ray Tube Anode
3.6,6750.0,20250.0,54,10.6,19.2,4,4.21,0.23,0.11,40.3,25.2,4,28.7,7.5,23.7,66,397.5,88.6,4,0,69.3,230.0,0.3,Detector Array
10.0,22261.0,72079.0,26,98.0,83.4,21,5.57,1.01,0.65,40.5,32.3,1,20.9,4.7,40.7,113,396.6,63.3,17,3,5.0,10.0,0.98,X-Ray Tube Anode
4.6,10294.0,34580.0,94,28.7,32.1,8,4.58,0.42,0.15,36.9,26.0,2,28.0,6.8,28.0,74,408.9,79.6,5,2,52.8,177.0,0.47,Coolant Loop Unit
3.7,8409.0,24029.0,100,36.6,49.5,7,4.78,0.38,0.1,31.7,27.3,1,27.3,5.5,32.6,103,406.7,81.7,5,2,47.1,157.0,0.53,Coolant Loop Unit
6.7,13396.0,49442.0,26,55.5,49.4,11,4.71,0.64,0.34,43.2,28.3,0,25.6,6.2,32.7,95,397.7,77.9,7,1,35.4,121.0,0.6,X-Ray Tube Anode
2.1,3840.0,12401.0,34,15.7,33.4,3,4.54,0.24,0.1,36.2,25.2,0,32.7,6.6,25.4,68,402.8,91.1,6,1,63.5,217.0,0.38,Coolant Loop Unit
9.7,24075.0,72251.0,8,96.9,80.6,20,5.52,0.98,0.81,56.9,32.7,1,24.4,6.1,39.2,109,412.5,62.0,18,4,5.0,17.0,0.95,X-Ray Tube Anode
1.4,2682.0,7134.0,138,5.0,32.4,2,4.3,0.18,0.12,38.2,22.9,0,33.7,5.7,29.1,82,390.5,97.1,3,1,73.5,245.0,0.27,Coolant Loop Unit
11.8,26936.0,76990.0,48,98.0,97.3,20,5.25,0.94,0.87,52.7,35.7,2,20.0,5.4,47.2,129,394.1,59.7,19,9,5.0,23.0,0.95,X-Ray Tube Anode
9.4,21526.0,84465.0,107,93.9,80.2,18,5.32,1.07,0.59,50.9,29.7,0,22.2,5.4,41.6,117,403.4,64.6,15,4,5.0,17.0,0.97,X-Ray Tube Anode
2.8,6203.0,18345.0,54,34.9,46.7,9,4.71,0.48,0.26,39.9,26.0,0,28.4,6.2,32.5,93,394.6,85.6,8,0,51.1,178.0,0.44,Coolant Loop Unit
0.6,1138.0,3133.0,168,5.0,14.1,1,4.3,0.12,0.02,34.0,24.3,2,31.2,6.8,18.9,62,395.0,100.0,2,1,72.1,234.0,0.26,Coolant Loop Unit
9.9,19655.0,62718.0,119,66.1,74.9,14,5.08,0.64,0.51,47.4,31.8,0,27.1,5.6,37.6,102,409.8,66.2,12,5,5.0,20.0,0.98,X-Ray Tube Anode
8.6,19142.0,56672.0,143,70.3,69.7,13,5.2,0.73,0.41,49.0,33.5,1,22.3,4.8,38.7,108,403.3,68.3,8,0,21.9,72.0,0.76,X-Ray Tube Anode
8.9,21376.0,54568.0,81,98.0,79.5,21,5.28,0.99,0.65,51.8,32.0,1,23.0,5.8,36.6,99,399.6,64.2,18,3,5.0,21.0,0.93,X-Ray Tube Anode
9.4,23075.0,68871.0,146,86.5,77.4,18,5.07,0.93,0.69,51.8,31.2,0,21.8,4.9,40.3,112,393.8,67.5,15,3,5.0,26.0,0.98,X-Ray Tube Anode
1.4,2533.0,8400.0,96,9.4,18.1,1,4.31,0.13,0.18,47.2,24.5,2,32.7,6.8,22.0,71,402.9,91.1,1,1,72.0,239.0,0.28,Coolant Loop Unit
4.6,8821.0,29353.0,102,46.6,50.5,9,4.71,0.53,0.3,39.5,30.4,3,26.6,6.4,30.7,87,409.4,84.6,11,0,36.8,129.0,0.63,X-Ray Tube Anode
1.8,4510.0,13688.0,151,13.8,33.1,1,4.48,0.15,0.33,40.0,29.6,2,28.3,5.9,27.5,88,389.7,94.1,6,1,56.7,190.0,0.46,Coolant Loop Unit
10.4,24141.0,76551.0,62,95.2,86.1,20,5.18,0.98,0.71,51.0,32.1,1,21.9,5.8,41.4,112,390.2,60.3,20,3,5.0,8.0,0.94,X-Ray Tube Anode
7.7,18542.0,73208.0,46,80.5,74.0,16,5.32,0.82,0.62,53.3,31.7,2,24.8,5.3,39.7,109,405.4,73.6,15,5,5.0,22.0,0.94,X-Ray Tube Anode
4.3,8360.0,25633.0,87,47.1,45.4,8,4.97,0.62,0.25,37.6,27.3,2,25.6,6.8,27.3,73,395.5,82.4,8,1,40.6,147.0,0.61,X-Ray Tube Anode
1.2,2722.0,7859.0,99,5.7,18.9,0,4.27,0.07,0.05,41.4,24.1,0,31.4,7.2,24.5,73,393.5,97.7,3,0,78.0,276.0,0.22,Coolant Loop Unit
4.1,9338.0,26755.0,39,48.5,45.9,10,4.79,0.6,0.36,38.5,30.3,1,26.7,7.0,30.8,97,394.6,83.2,6,0,44.8,154.0,0.57,X-Ray Tube Anode
4.2,9650.0,30750.0,143,36.3,51.6,6,4.52,0.34,0.3,41.2,26.8,0,27.0,5.5,31.9,91,406.1,86.2,6,0,47.0,153.0,0.52,Coolant Loop Unit
8.9,18543.0,67483.0,53,67.1,59.7,13,4.92,0.64,0.61,49.0,25.7,1,25.5,6.3,35.5,95,405.8,75.6,13,0,15.0,50.0,0.85,X-Ray Tube Anode
7.8,14182.0,39837.0,80,58.7,63.0,10,4.84,0.54,0.46,42.4,30.0,1,28.5,4.8,32.6,97,403.2,69.1,8,1,26.7,90.0,0.73,X-Ray Tube Anode
10.7,23633.0,84225.0,16,85.3,76.5,21,5.44,0.88,0.62,46.7,33.0,0,21.3,6.0,38.5,109,396.6,57.4,17,4,5.0,22.0,0.94,X-Ray Tube Anode
5.9,11726.0,29686.0,104,50.7,50.0,9,4.8,0.5,0.45,47.3,28.3,0,26.6,5.5,30.9,88,393.5,78.4,8,0,35.2,120.0,0.62,X-Ray Tube Anode
1.9,3967.0,12409.0,70,41.1,51.5,10,4.49,0.4,0.09,41.2,28.9,1,28.8,6.6,29.2,83,395.2,93.9,10,3,39.8,125.0,0.59,X-Ray Tube Anode
8.7,21497.0,78762.0,141,94.8,85.5,19,5.38,0.96,0.67,43.5,33.4,1,22.3,4.4,39.0,112,392.9,65.9,15,5,5.0,20.0,0.94,X-Ray Tube Anode
9.2,19232.0,57851.0,108,76.1,71.3,13,5.24,0.81,0.67,50.2,30.7,3,23.8,5.1,39.0,103,396.9,66.3,13,4,5.0,17.0,0.98,X-Ray Tube Anode
7.0,16607.0,55560.0,47,74.8,74.2,16,5.09,0.78,0.46,44.8,31.7,1,25.7,5.3,39.3,107,400.3,72.2,11,0,18.6,68.0,0.83,X-Ray Tube Anode
9.4,18095.0,50802.0,9,64.9,65.3,14,5.2,0.68,0.63,49.1,30.6,0,22.5,6.4,37.3,105,405.9,61.6,13,0,20.3,70.0,0.81,X-Ray Tube Anode
6.2,14030.0,50690.0,34,50.0,51.1,10,4.92,0.64,0.46,44.1,25.2,1,29.5,6.2,32.9,88,400.3,78.1,8,2,31.9,112.0,0.68,X-Ray Tube Anode
6.5,16174.0,41703.0,157,64.1,66.0,14,4.81,0.68,0.55,43.2,30.1,1,24.4,5.1,35.9,105,398.7,76.1,18,1,14.0,48.0,0.84,X-Ray Tube Anode
5.4,10136.0,38304.0,165,41.2,52.3,8,4.61,0.51,0.25,45.2,25.9,1,25.1,5.3,38.2,111,413.6,76.8,7,4,34.3,118.0,0.66,Coolant Loop Unit
0.8,1431.0,4002.0,171,5.0,14.0,2,4.29,0.15,0.11,40.8,23.6,1,35.7,6.2,24.3,71,372.2,93.5,3,0,75.0,250.0,0.28,Coolant Loop Unit
1.7,3662.0,13957.0,86,12.2,27.9,2,4.1,0.15,0.03,35.5,24.6,0,31.7,6.7,22.9,63,405.1,91.7,3,1,75.7,259.0,0.23,Coolant Loop Unit
0.9,1606.0,4866.0,115,5.3,14.8,2,4.31,0.17,0.23,38.6,25.3,0,33.1,6.8,21.6,67,404.2,95.5,3,0,74.8,253.0,0.26,Coolant Loop Unit
7.8,18170.0,65121.0,64,85.0,73.2,19,4.96,0.83,0.37,41.4,31.2,2,25.5,6.0,37.8,109,404.3,67.2,13,4,5.0,19.0,0.94,X-Ray Tube Anode
4.1,10042.0,29912.0,152,29.8,42.1,5,4.71,0.36,0.29,33.6,27.8,1,27.9,6.3,28.7,83,407.4,82.5,4,0,55.0,181.0,0.45,Coolant Loop Unit
6.3,13356.0,51540.0,34,42.3,57.0,8,4.84,0.5,0.33,43.4,28.5,1,27.7,5.9,37.5,102,390.5,80.1,4,1,41.5,148.0,0.58,Coolant Loop Unit
10.9,21667.0,58284.0,176,88.1,89.3,18,5.33,0.8,0.68,52.3,34.3,1,22.6,4.3,42.5,118,407.6,62.4,16,4,5.0,18.0,0.96,X-Ray Tube Anode
3.4,7084.0,19607.0,12,37.5,37.7,7,4.55,0.36,0.39,44.1,24.1,1,28.7,7.1,26.6,75,403.1,86.1,6,1,45.9,160.0,0.54,X-Ray Tube Anode
5.2,12038.0,38998.0,151,52.6,55.2,10,4.86,0.62,0.42,44.1,27.3,1,29.4,5.1,35.2,95,396.8,84.0,10,1,30.9,105.0,0.68,X-Ray Tube Anode
9.2,16598.0,43535.0,97,68.8,69.8,13,4.95,0.69,0.73,51.4,32.3,1,26.8,5.5,37.2,108,405.0,66.2,14,1,9.7,36.0,0.87,X-Ray Tube Anode
3.1,6928.0,19357.0,121,25.4,30.7,5,4.35,0.3,0.12,35.2,25.0,0,30.3,6.7,25.5,81,401.4,86.9,3,0,64.0,206.0,0.36,Coolant Loop Unit
1.4,3088.0,12092.0,141,17.8,37.7,2,4.36,0.27,0.03,34.1,23.3,0,32.3,5.1,33.7,92,392.5,94.9,2,0,70.8,240.0,0.3,Coolant Loop Unit
3.8,8608.0,34130.0,87,41.0,53.6,9,4.8,0.45,0.21,39.1,30.6,0,28.8,6.5,35.0,93,383.8,86.1,7,1,43.7,145.0,0.56,X-Ray Tube Anode
2.4,4636.0,14207.0,102,16.5,39.6,4,4.4,0.27,0.18,41.1,28.4,0,30.6,6.7,25.4,76,389.5,94.8,4,0,64.1,216.0,0.36,Coolant Loop Unit
11.2,25739.0,99993.0,96,95.4,76.9,19,5.56,0.96,0.65,53.5,32.3,0,21.8,5.2,42.7,114,394.3,56.6,16,5,5.0,22.0,0.98,X-Ray Tube Anode
9.8,18255.0,60555.0,173,65.5,60.2,14,5.1,0.7,0.48,44.8,29.4,2,22.2,4.8,34.9,97,403.2,66.8,10,1,20.1,60.0,0.83,X-Ray Tube Anode
7.8,15097.0,43852.0,114,67.4,73.7,17,5.11,0.67,0.5,42.9,33.3,2,24.7,5.4,40.3,110,388.5,70.9,16,0,13.4,49.0,0.89,X-Ray Tube Anode
10.5,25402.0,90269.0,47,89.3,85.9,21,5.03,0.91,0.63,48.9,34.2,2,23.8,5.1,45.3,120,403.3,58.2,22,8,5.0,19.0,0.96,X-Ray Tube Anode
9.7,22574.0,78745.0,58,98.0,96.5,20,5.33,1.04,0.56,53.4,35.9,9,20.0,5.4,45.3,117,402.5,65.8,19,9,5.0,23.0,0.95,X-Ray Tube Anode
2.6,4787.0,19072.0,133,15.5,22.0,2,4.23,0.21,0.15,35.3,25.7,1,31.3,7.0,28.0,88,416.5,88.4,3,6,50.8,162.0,0.47,High Voltage Power Supply
10.8,21248.0,61566.0,121,87.5,83.2,16,5.22,0.93,0.59,50.7,32.2,2,24.0,4.8,42.7,117,402.9,65.2,14,5,5.0,20.0,0.91,X-Ray Tube Anode
6.7,13070.0,45852.0,118,57.9,61.9,9,4.79,0.62,0.48,49.6,28.8,2,27.4,5.2,36.5,97,383.4,73.0,7,1,25.8,89.0,0.77,X-Ray Tube Anode
9.8,19469.0,50192.0,5,72.4,61.4,15,5.01,0.79,0.5,44.9,27.5,2,26.2,6.7,35.7,98,409.2,62.8,10,0,19.1,65.0,0.81,X-Ray Tube Anode
10.8,21322.0,56938.0,96,81.6,77.4,16,5.34,0.84,0.56,45.2,32.0,1,22.4,5.5,36.3,97,392.7,61.5,14,3,5.0,24.0,0.98,X-Ray Tube Anode
