TypeDescription,Manufacturer,Age,AssetCondition,Operations,MonthsToFailure
Physiologic Monitoring System,Baxter Healthcare Corp,2,1,1,33.8
Radiographic System,Koninklijke Philips N.V.,7,0,2,27.5
Defibrillator,Canon Inc (Toshiba Medical),13,0,1,29.0
Radiographic System,Koninklijke Philips N.V.,25,0,2,6.6
Radiographic System,Physio-Control Inc,0,0,1,43.6
Infusion Pump,Drager Medical AG & Co KGaA,13,0,1,32.2
Defibrillator,Koninklijke Philips N.V.,1,1,1,33.4
Defibrillator,Omron Healthcare Co Ltd,28,0,1,11.0
Defibrillator,Physio-Control Inc,22,0,1,20.2
Radiographic System,Physio-Control Inc,3,1,2,26.3
Physiologic Monitoring System,GE Healthcare,23,1,2,3.7
Defibrillator,Omron Healthcare Co Ltd,26,2,2,2.0
Sphygmomanometers,Siemens Healthineers,28,1,2,2.0
Radiographic System,Medtronic,18,0,2,11.8
Infusion Pump,Blease Medical Equipment Ltd,5,2,2,19.0
Physiologic Monitoring System,Baxter Healthcare Corp,24,1,2,9.0
Sphygmomanometers,Nihon Kohden Corp,0,0,1,56.5
Sphygmomanometers,Medtronic,16,1,1,21.9
Infusion Pump,Koninklijke Philips N.V.,7,2,1,16.2
Physiologic Monitoring System,Baxter Healthcare Corp,18,0,1,27.4
Radiographic System,B. Braun Melsungen AG,20,0,1,21.0
Ventilator,Siemens Healthineers,0,0,2,40.0
Physiologic Monitoring System,B. Braun Melsungen AG,4,0,1,51.0
Infusion Pump,Omron Healthcare Co Ltd,26,0,1,17.3
Sphygmomanometers,Med-Vantage Sdn Bhd,15,1,1,22.0
Radiographic System,B. Braun Melsungen AG,5,0,1,36.0
Physiologic Monitoring System,Welch Allyn Inc,7,2,1,16.0
Ventilator,Drager Medical AG & Co KGaA,12,1,1,18.2
Ventilator,Medtronic,15,1,1,9.8
Defibrillator,Nihon Kohden Corp,29,2,1,2.0
Defibrillator,Welch Allyn Inc,2,0,2,42.7
Infusion Pump,Med-Vantage Sdn Bhd,18,1,2,7.7
Physiologic Monitoring System,GE Healthcare,11,1,1,27.4
Physiologic Monitoring System,Nihon Kohden Corp,15,2,1,2.3
Sphygmomanometers,B. Braun Melsungen AG,26,1,1,12.3
Sphygmomanometers,Koninklijke Philips N.V.,10,0,2,33.8
Sphygmomanometers,Canon Inc (Toshiba Medical),9,2,1,16.1
Defibrillator,Siemens Healthineers,24,0,1,17.5
Physiologic Monitoring System,Blease Medical Equipment Ltd,19,2,2,2.0
Physiologic Monitoring System,Datex-Ohmeda Inc,30,2,1,2.0
Ventilator,Nihon Kohden Corp,3,0,1,37.9
Defibrillator,Blease Medical Equipment Ltd,11,1,1,19.5
Radiographic System,Blease Medical Equipment Ltd,22,0,2,8.9
Defibrillator,B. Braun Melsungen AG,1,0,2,37.9
Radiographic System,Siemens Healthineers,23,1,2,2.0
Ventilator,Baxter Healthcare Corp,21,1,1,7.6
Infusion Pump,Medtronic,18,2,1,2.0
Physiologic Monitoring System,Blease Medical Equipment Ltd,24,1,2,7.1
Ventilator,Physio-Control Inc,4,1,2,20.3
Physiologic Monitoring System,Med-Vantage Sdn Bhd,7,2,1,21.6
Sphygmomanometers,Drager Medical AG & Co KGaA,6,2,2,18.6
Infusion Pump,Siemens Healthineers,13,0,1,31.0
Infusion Pump,Koninklijke Philips N.V.,23,2,1,2.0
Ventilator,Omron Healthcare Co Ltd,22,0,2,10.3
Infusion Pump,Koninklijke Philips N.V.,2,2,1,26.4
Radiographic System,Siemens Healthineers,17,0,2,17.3
Infusion Pump,Koninklijke Philips N.V.,15,0,1,32.4
Physiologic Monitoring System,Blease Medical Equipment Ltd,22,0,1,25.7
Physiologic Monitoring System,Medtronic,18,1,2,13.2
Physiologic Monitoring System,Koninklijke Philips N.V.,18,0,2,22.7
Physiologic Monitoring System,Nihon Kohden Corp,17,0,1,31.2
Radiographic System,Physio-Control Inc,19,1,1,7.9
Defibrillator,Koninklijke Philips N.V.,15,2,2,2.0
Sphygmomanometers,Physio-Control Inc,7,0,1,45.4
Ventilator,Canon Inc (Toshiba Medical),27,0,2,5.4
Physiologic Monitoring System,B. Braun Melsungen AG,0,0,2,51.9
Infusion Pump,GE Healthcare,16,0,1,29.5
Physiologic Monitoring System,Medtronic,11,2,1,15.7
Infusion Pump,Med-Vantage Sdn Bhd,29,2,1,2.0
Sphygmomanometers,Blease Medical Equipment Ltd,20,1,2,9.3
Sphygmomanometers,GE Healthcare,10,0,1,50.2
Sphygmomanometers,Blease Medical Equipment Ltd,4,1,1,38.7
Infusion Pump,B. Braun Melsungen AG,26,1,1,6.1
Physiologic Monitoring System,Blease Medical Equipment Ltd,11,2,2,9.2
Sphygmomanometers,Canon Inc (Toshiba Medical),16,1,1,25.2
Radiographic System,Medtronic,5,1,1,26.0
Infusion Pump,Siemens Healthineers,0,1,2,35.5
Infusion Pump,Siemens Healthineers,4,0,2,38.2
Physiologic Monitoring System,Physio-Control Inc,24,2,2,2.0
Infusion Pump,B. Braun Melsungen AG,27,1,1,2.8
Infusion Pump,Physio-Control Inc,13,1,1,23.3
Sphygmomanometers,Canon Inc (Toshiba Medical),4,0,2,40.5
Physiologic Monitoring System,Drager Medical AG & Co KGaA,21,1,1,13.8
